gene,gene,cell_type1,cell_type2
Spint2,SPINT2,vessel,
Cldn1,CLDN1,vessel,
Cldn2,CLDN2,vessel,
Slc26a11,SLC26A11,vessel,
Cldn5,CLDN5,vessel,vessel
Fzd4,FZD4,vessel,
Vwf,VWF,vessel,
Lepr,LEPR,vessel,
Heyl,HEYL,vessel,
4932438H23Rik,C21orf62,vessel,
Txnip,TXNIP,vessel,
Lpar1,LPAR1,vessel,
Kif9,KIF9,vessel,
Prr32,PRR32,vessel,
Pbxip1,PBXIP1,vessel,
Exoc6,EXOC6,vessel,
Folr1,FOLR1,vessel,
Tek,TEK,vessel,
Tgfbi,TGFBI,vessel,
Rnaset2,RNASET2,vessel,
Nrp1,NRP1,vessel,
Eltd1,ELTD1,vessel,
Calml4,CALML4,vessel,
Ace,ACE,vessel,
Fancm,FANCM,vessel,
